language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
Yoruba;Èdè Yorùbá;Representing what may be the largest Nigerian community, a range of speakers of different Yoruba varieties live across the metropolitan area, with significant concentrations in a stretch of Brooklyn across Bed-Stuy, Flatbush, and East New York, in southeast Queens, in the Bronx, and in Staten Island. Yoruba-language churches, often Pentecostal, are significant hubs, with some like CAC in Brooklyn having served the community for decades, as are Nigerian markets. A distinct form of Yoruba spread across the Black Atlantic to become Lukumí, a liturgical language of Santeria also widely used across the city.;Western Africa;Nigeria, Benin;39844260;Concourse;Mount Hope;4.082.895.000;-7.391.597.500;Medium;Residential;yoru1245;Atlantic-Congo;yor
Yoruba;Èdè Yorùbá;Representing what may be the largest Nigerian community, a range of speakers of different Yoruba varieties live across the metropolitan area, with significant concentrations in a stretch of Brooklyn across Bed-Stuy, Flatbush, and East New York, in southeast Queens, in the Bronx, and in Staten Island. Yoruba-language churches, often Pentecostal, are significant hubs, with some like CAC in Brooklyn having served the community for decades, as are Nigerian markets. A distinct form of Yoruba spread across the Black Atlantic to become Lukumí, a liturgical language of Santeria also widely used across the city.;Western Africa;Nigeria, Benin;39844260;Kensington;Bedford-Stuyvesant, East New York;4.063.849.200;-7.397.216.600;Medium;Residential;yoru1245;Atlantic-Congo;yor
Yoruba;Èdè Yorùbá;Representing what may be the largest Nigerian community, a range of speakers of different Yoruba varieties live across the metropolitan area, with significant concentrations in a stretch of Brooklyn across Bed-Stuy, Flatbush, and East New York, in southeast Queens, in the Bronx, and in Staten Island. Yoruba-language churches, often Pentecostal, are significant hubs, with some like CAC in Brooklyn having served the community for decades, as are Nigerian markets. A distinct form of Yoruba spread across the Black Atlantic to become Lukumí, a liturgical language of Santeria also widely used across the city.;Western Africa;Nigeria, Benin;39844260;South Jamaica;;4.068.180.900;-7.379.217.500;Medium;Residential;yoru1245;Atlantic-Congo;yor
Yunnanese;云南话;As more people have arrived in New York from China's highly diverse Yunnan Province, including at least some Muslim Hui, Bai, and Dai people, they have formed a Yunnan Tongxianghui（云南同乡会）and even a few Yunnan restaurants have opened, such as the short-lived Coco's Kitchen on the Little Neck/Great Neck border.;Eastern Asia;China;45966239;Flushing;;4.075.877.591;-7.383.161.529;Small;Residential;xina1239;Sino-Tibetan;
Zacaptec Mixtec;Tacuate;New Brunswick is home to a distinct, mulitilingual Oaxacan community that includes speakers of several Indigenous Mexican languages, according to the orgnaization Lazos America Unida. Among them are Zapotec (with more speakers further south in New Jersey's agricultural belt), Copala Triqui (with a major community of some 800-1,000 also in Albany, NY), Mixtec, and Tacuate (or Zacaptec Mixtec). New Brunswick has been host to a Guelaguetza, a traditional-style Oaxacan cultural celebration, and has a number of Oaxacan restaurants, with the area around French Street and Jersey Avenue a particularly important hub.;Central America;Mexico;1500;New Brunswick (NJ);;4.048.968.482;-7.445.089.143;Small;Residential;sant1436;Otomanguean;mza
Zaghawa;Beria;Following genocidal campaigns by the government-backed Janjaweed militias in Sudan in the early 2000s, hundreds of thousands of Darfuri fled to refugee camps in Chad and, when possible, elsewhere. Of the much smaller number who made it as refugees to the U.S., most settled in Iowa and Indiana, from which several hundred left for a small Darfuri enclave in the Kensington section of Brooklyn. All the dozen or so Darfuri languages are giving way to what is now called Darfuri Arabic, which was already making inroads before the killings, but has also been the principal medium of communication among all kinds of Darfuris, in the refugee camps and in exile. ELA worked with the Darfur People’s Association of New York and other groups to record speakers of Fur, Zaghawa, and Masalit, of which there are a small number of speakers in New York but now many more now in cities across the U.S.;Northern Africa;Sudan, Chad;316660;Flatbush;;4.064.735.900;-7.395.987.900;Smallest;Residential;zagh1240;Saharan;zag
Zapotec;Diidxazá;The Indigenous Zapotec community in and around Los Angeles is much larger than the one in and around New York, but there are speakers of Zapotecan languages (a diverse group from Oaxaca in Mexico) living in and around Latino areas of New York and New Jersey. Important clusters include former residents of San Sebastián Teitipac now in the Bronx, who have been hoped to pass on their language with a dedicated school;;;;;;;;;;;;
Zapotec;Diidxazá;The Indigenous Zapotec community in and around Los Angeles is much larger than the one in and around New York, but there are speakers of Zapotecan languages (a diverse group from Oaxaca in Mexico) living in and around Latino areas of New York and New Jersey. Important clusters include former residents of San Sebastián Teitipac now in the Bronx, who have been hoped to pass on their language with a dedicated school;;;;;;;;;;;;
Zapotec;Diidxazá;The Indigenous Zapotec community in and around Los Angeles is much larger than the one in and around New York, but there are speakers of Zapotecan languages (a diverse group from Oaxaca in Mexico) living in and around Latino areas of New York and New Jersey. Important clusters include former residents of San Sebastián Teitipac now in the Bronx, who have been hoped to pass on their language with a dedicated school;;;;;;;;;;;;
Zapotec;Diidxazá;New Brunswick is home to a distinct, mulitilingual Oaxacan community that includes speakers of several Indigenous Mexican languages, according to the orgnaization Lazos America Unida. Among them are Zapotec (with more speakers further south in New Jersey's agricultural belt), Copala Triqui (with a major community of some 800-1,000 also in Albany, NY), Mixtec, and Tacuate (or Zacaptec Mixtec). New Brunswick has been host to a Guelaguetza, a traditional-style Oaxacan cultural celebration, and has a number of Oaxacan restaurants, with the area around French Street and Jersey Avenue a particularly important hub.;Central America;Mexico;441182;New Brunswick (NJ);;4.049.170.554;-7.445.428.840;Small;Residential;zapo1437;Otomanguean;zap
Zapotec;Diidxazá;"According to the Oaxacan community in Poughkeepsie, the first Zapotec speaker to arrive in Dutchess County was Adolfo Agustin Santiago in 1980. Since then, the town has drawn an increasing number of Indigenous Mexican immigrants hailing specifically from the San Agustín near Oaxaca city in southern Mexico, where Zapotec is spoken. Traditions such as the annual festival of Guelaguetza (""offering"" in Zapotec) are celebrated annually in Poughkeepsie, maintaining cultural practices such as Danza de la Pluma (Feather Dance) and Flor de Piña (""Pineapple Flower'), alongside the colorful attire worn in the parade. While the number of Zapotec speakers is difficult to calculate, approximately 3,000 residents of Poughkeepsie (9%) are of Mexican descent, including a significant number from San Agustín Yatareni.";Central America;Mexico;441182;Poughkeepsie (NY);;4.170.700.000;-7.392.922.000;Small;Residential;zapo1437;Otomanguean;zap
Zarma;Zarmaciine;Not much information is known, but there appear to be communities speaking different Songhay varieties from both Mali (e.g. Koyraboro Senni) and Niger (Zarma) in the Bronx and in Harlem.;Western Africa;Niger, Nigeria;3680100;Fordham;;4.086.325.800;-7.390.137.300;Smallest;Residential;zarm1239;Songhay;dje
Zaza;Dımli;Zaza is a Northwest Iranic language, spoken in the east of modern Turkey by Kurdish and Alevi communities, with approximately 2 to 3 million speakers speaking distinct Northern and Southern varieties. Due to language policies in effect for over 50 years, both the number of Zaza speakers and the degree to which they use the language have been in sharp decline. Diaspora and refugee communities now exist throughout Europe, especially Germany, and there are now a small number of speakers in New York and New Jersey, including a few (like Endangered Language Alliance collaborator Zere Atmaca) who have worked as carriage drivers in Central Park. Read more here.;Western Asia;Turkey;1344000;Midtown;;4.076.427.600;-7.397.402.900;Smallest;Community;diml1238;Indo-European;zza
Zoroastrian Dari;گویش بهدینان;Avestan is the sacred language of Zoroastrianism, which is practiced by a small community living across the New York metro region. Originally spoken around 1500 BCE and thus an important linguistic key to the Indo-European past, Avestan was revitalized as a written-only liturgical language nearly two thousand years later. Named for Zoroastrianism's central text, the Avesta, the language employed a new alphabet that descends to an extent from (Semitic) Aramaic, though linguistically it is closer to (Indo-European) Sanskrit. In daily life, Zoroastrians from Iran may speak Zoroastrian Dari (closely related to Persian), while those from South Asia (notably Parsis) may speak Gujarati or English, but Avestan continues to serve as a common liturgical language for worshippers at the Dar-e-Mehr Zoroastrian Temple in Pomona, New York.;Southern Asia;Iran;8000;Pomona (NY);;4.116.745.400;-7.405.239.300;Smallest;Community;zoro1242;Indo-European;gbz
Zulu;IsiZulu;Several thousand South African New Yorkers live in neighborhoods across the city — besides South African English, there are at least small numbers of speakers of Afrikaans, Xhosa, Zulu, Northern Sotho (also spoken in Lesotho), Ndebele (also spoken in Zimbabwe), Swati (also spoken in Eswatini), and Tswana (also spoken in Botswana). All are official languages of South Africa today, testifying to an extraordinary multilingualism also embodied by comedian and New York resident Trevor Noah, who reportedly speaks (a distinctly South African-inflected) English, Afrikaans, Southern Sotho, Tsonga, Tswana, Xhosa, and Zulu.;Southern Africa;South Africa, Lesotho;12000000;Murray Hill;;4.074.645.500;-7.397.177.500;Smallest;Community;zulu1248;Atlantic-Congo;zul
Zuwara;ⵎⴰⵣⵉⵗ;According to linguist Soubeika Bahri, several languages spoken by the Amazigh (or Berber) people of North Africa are represented in the city, with a notable concentration living and working within the North African community along Steinway Street in Astoria (sometimes referred to as Little Egypt) and other speakers in New Jersey. Among the languages represented with at least a small number of speakers are Chaouia, Kabyle, Siwi, Tamazight, Tarifit, Tashelhyt, and Zuwara.;Northern Africa;Libya;;Astoria;;4.076.864.100;-7.391.160.500;Smallest;Residential;tuni1262;Afro-Asiatic;jbn
Tosk Albanian;Shqip (Tosk);Speakers of Tosk Albanian varieties, from southern areas of the Albanian-speaking world including Albania's capital city Tirana, often live near Gegs but also have a significant concentration in Brooklyn neighborhoods from Flatbush to Bensonhurst and in New Jersey. As with Geg Albanian speakers, they are often proficient in Italian for historical reasons and have settled in New York neighborhoods with high concentrations of ethnic Italians. Many likewise came during the breakup of the former Yugoslavia and the wars that followed, but a smaller group, primarily Christian, came in the first half of the 20th century.;Southern Europe;Albania;1870730;Garfield (NJ);;4.086.982.560;-7.411.007.400;Medium;Residential;alba1268;Indo-European;als
Tosk Albanian;Shqip (Tosk);Speakers of Tosk Albanian varieties, from southern areas of the Albanian-speaking world including Albania's capital city Tirana, often live near Gegs but also have a significant concentration in Brooklyn neighborhoods from Flatbush to Bensonhurst and in New Jersey. As with Geg Albanian speakers, they are often proficient in Italian for historical reasons and have settled in New York neighborhoods with high concentrations of ethnic Italians. Many likewise came during the breakup of the former Yugoslavia and the wars that followed, but a smaller group, primarily Christian, came in the first half of the 20th century.;Southern Europe;Albania;1870730;Belmont;;4.085.459.260;-7.388.126.266;Small;Residential;alba1268;Indo-European;als
Breton;Brezhoneg;Immigration from Brittany, the region of northwest France where this Celtic language is spoken, grew substantially in the early 20th century and reached its peak between the two world wars. During this time the majority of French immigrants in New York City may have been Breton, with several thousand having come to work at Michelin Tire Corporation's factory in Milltown, New Jersey, or otherwise after the Second World War as waiters, dishwashers, busboys etc. at restaurants which often had Breton owners. By 1967, there were 12,000 Bretons in the city, representing over a third of the city's total French population, according to the newspaper France-Amerique. The linguist Kenneth Nilsen found that a number of restaurants were mainly Breton-speaking, with many originally from the Gourin-Roudaouallec-Langonned region and some claiming to have learned French only in NYC's French restaurants. Today, the Breton Association of New York (BZH-NY) still has a large membership and continues to hold cultural events on a regular basis. A newer organization, Breizh Amerika, builds transnational ties between Bretons in Brittany and those in the city, who now number 2-3,000 at most according to the organization's founder Charles Kergaravat. Major areas of settlement have been Hell's Kitchen in Manhattan and later Astoria and Woodside in Queens.;Western Europe;France;206000;Milltown (NJ);;4.076.330.400;-7.398.628.400;Small;Historical;bret1244;Indo-European;bre
Ningbo;宁波话;Most Chinese speakers in the city, from the first half of the 19th century until the second half of the 20th, spoke southern Chinese varieties, notably forms of Taishanese and Cantonese, but significant numbers of speakers of northern Chinese varieties including official Mandarin, began arriving especially after the Second World War. Many were from Taiwan and established a community in and around Flushing, where other Chinese immigrants from all over gradually joined them. Today, with the largest Chinese population outside of Asia, the entire metro area is home to an extraordinary variety of Sinitic (Chinese) languages even beyond the most widely spoken (Mandarin, Cantonese, Fujianese, Taishanese, Wenzhounese, Hakka). Some represent distinct but related varieties of these (e.g. Northern Fujianese, Taiwanese, Teochew, and Hainanese are all part of the Min group, with the Fuzhou variety of Fujianese by far the most common in New York) but others are highly distinct. Reports about other smaller Chinese languages communities in the city are scarce, but within the Mandarin subgroup there seem to be substantial numbers of speakers of Northeastern Mandarin and Sichuanese, and within the Wu subgroup substantial numbers of speakers of Shanghainese and Changzhounese. There are an unknown number of speakers of Gan (Jiangxi) and Xiang (Hunan) and probably many other varieties, likely not living as distinct communities, but within a larger Chinese matrix where Mandarin (as in China itself) is increasingly the lingua franca and valorized standard.;Eastern Asia;China;;Williamsburg;;4.070.459.875;-7.394.463.072;Small;Residential;wuch1236;Sino-Tibetan;wuu
Norwegian;Norsk;"Danish and Norwegian New Yorkers came together in 1704 to build a small Lutheran church in lower Manhattan at Broadway and Rector, but it was between 1930 and 1960 that the New York Norwegian community reached its peak of up to 62,000 members. This community, at one time the third largest Norwegian-speaking city in the world after Oslo and Bergen, Norway, had grown into a city unto itself with a full range of institutions and services, centered in Sunset Park and Bay Ridge. The decline of shipping and the Great Depression caused hundreds of Norwegian sailors to seek shelter in makeshift shacks in the rubble of a dump in Red Hook, known by some as ""Ørkenen Sur"" (Bitter Desert) and knocked down in 1934 to make way for the current athletic fields. A Norwegian presence remains in Bay Ridge through a few remaining institutions, as well as an annual Norwegian Day Parade that brings back those who grew up here. Other Norwegian and Scandinavian hubs existed around the city, including in Eltingville on Staten Island.";Northern Europe;Norway;5000000;Eltingville;;4.054.837.016;-7.414.739.902;Small;Residential;norw1258;Indo-European;nor
Sherpa;ཤར་པའི་སྐད་;The Sherpa community estimates that there may be as many as 11,000 Sherpas in the New York area, mostly from the Solukhumbu area of northern Nepal in the region of Mt. Everest (known as Chomolungma), where so many famous Sherpa mountaineers have worked. Though some are in Brooklyn and elsewhere, most New York Sherpas live within a few miles of the Sherpa Gompa, a Tibetan Buddhist temple founded by the United Sherpa Association in the center of Jackson Heights/Elmhurst. Housed in an old church, the temple has become an important center not only for Sherpas but also for the wider Himalayan community. Down the block is another Sherpa community center where the Sherpa's Tibetic language is taught, and there are also efforts to launch an occasional Sherpa-language radio station and create a community hub upstate in Walkill.;Southern Asia;Nepal, India;169980;Walkill (NY);;4.161.972.086;-7.418.482.401;Smallest;Community;sher1255;Sino-Tibetan;xsr
Franconian;Fränkisch;As of 2021, a speaker of the Würzburg Franconian variety reported having lived for the last 30 years in Washington Heights, once a major area for (especially Jewish) speakers of several Germanic language varieties.  Würzburg is in Lower Franconia, part of Bavaria, and the language there bears similarities to Bavarian, Swabian, and other southern varieties.;Western Europe;Germany;;Washington Heights;;4.085.033.483;-7.393.735.183;Smallest;Residential;wurz1234;Indo-European;
Rashti;رشتی;As of 2021, at least one individual living on the Upper East Side—with family who also speak scattered in Westchester and New Jersey— was reported as speaking Rashti, a language of Iran's Gilan Province sometimes considered a variety of Gilaki.;Southern Asia;Iran;;Upper East Side;;4.077.146.843;-7.396.299.545;Smallest;Residential;rash1246;Indo-European;
Dutch;Nederlands;Nowhere did Dutch last longer than the Hudson River Valley, where it was used in towns such as Kingston and even more so in rural areas as late well into the 19th century. In what is today the city, it was on the large Dutch family farms of Brooklyn, among families such as the Leffertses (as in Prospect-Lefferts Gardens) and Wyckoffs (as in Wyckoff Avenue), that Dutch persisted longest. Old Stone House in Park Slope is a 1933 reconstruction of the Vechte–Cortelyou House, a Brooklyn Dutch farmhouse of the Revolutionary era. Many Dutch speakers today are more recent arrivals either from the Netherlands, living in areas of Manhattan and Brooklyn not far from their forebears, or else from former Dutch colonies like Surinam and living in areas like South Ozone Park in Queens.;Western Europe;Netherlands, Belgium;23069480;Kingston (NY);;4.193.300.212;-7.401.903.116;Large;Historical;dutc1246;Indo-European;nld
Lemko;Лeмкo;Lemkos are a Slavic gorup from the Transcarpathian region of eastern Europe who variously identify as an independent ethnic group, as (Carpatho-)Rusyns, or as Ukrainians — and linguistically there are close connections within a zone of transitional Slavic varieties. There is a large Lemko diaspora in the US, with many having fled a series of deportations in what is now southeastern Poland. In the New York area, a distinct Lemko community has been present and active for over a century in preserving historical and cultural memory. Though Lemkos are scattered in the tristate area with significant settlements in Westchester (Yonkers) and Connecticut (Terryville), the Ukrainian section of the East Village remains a hub, with a Lemko Vatra festival taking place upstate, meetings of a branch of the Organization for the Defense of Lemkivshchyna, and other activities.;Eastern Europe;Ukraine, Poland;;Terryville (CT);;4.167.496.382;-7.300.488.804;Medium;Residential;lemk1239;Indo-European;
Calabrese (Sanfilese);Calabrese;"While many of the first Italian New Yorkers were speakers of Ligurian, Piedmontese, Lombard, and Tuscan varieties, the overwhelming majority have been southerners who spoke forms of Sicilian, Neapolitan, Calabrese, and Pugliese. Given that less than 10 percent of the population spoke the national language (Italian) at the time of unification in the 19th century, most Italian New Yorkers were speakers of these (often not mutually intelligible) ""dialects"" who only learned Italian later, if at all. Diversity and clustering were the norm in all the major early Italian neighborhoods, with a Neapolitan-based koine reported as a common language among southern Italian immigrants. Little Italy and Greenwich Village were the crucible, but patterns were highly specific — for example Sicilians, especially from Sambucca, on Elizabeth Street, Neapolitans and Calabrians on Mulberry";;;;;;;;;;;;
Lenape (Unami);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Quiripi;Wampano;Considered closely connected with the Unkechaug spoken on Long Island, Quiripi (or Wampano) is a term used to describe the range of Alonguian language varieties once spoken across southwestern Connecticut by groups including the Quinnipiac, Unquachog, Mattabesic, Podunk, Tunxis, and Paugussett.;Northern America;United States;;New Haven (CT);;4.129.862.302;-7.290.824.049;Large;Reviving;wamp1250;Algic;qyp
Slovenian;Slovenščina;Many of the Slovenians who first arrived in New York in the late 19th century came from the Domžale region and introduced their specialized straw-hat making trade to America. Originally settling in the East Village with many other Eastern and Central European groups, Slovenians since 1916 have made the Church of St. Syril on St. Mark's Place an important community center, offering Slovenian language classes and serving as a hub for other community groups and activities. Many Slovenian speakers, including a later wave following the Second World War, settled elsewhere in the city, especially Brooklyn, and beyond (including the Bridgeport-Fairfield area in Connecticut). There were some who spoke in the lanugage in the distinctive community of Gottscheers, a Germanic group from what is today Slovenia, which made its home in Ridgewood, Queens and the surrounding area.;Eastern Europe;Slovenia;2226650;Fairfield (CT);;4.120.066.114;-7.325.369.260;Small;Residential;slov1268;Indo-European;slv
Cape Verdean Creole;Kriolu;The American Community Survey registers a small community of Cape Verdeans in New York — and there is a record of this club having existed in Brooklyn — but there appear to be more in the Portuguese-speaking world of the Ironbound district in Newark, as well as Bridgeport (home to the Associação Caboverdiana), not to mention other significant communities in coastal Massachusetts and Rhode Island. ;Western Africa;Cape Verde Islands;1191000;Bridgeport (CT);;4.118.524.644;-7.320.075.756;Small;Residential;kabu1256;Indo-European;kea
Finnish;Suomi;"Finnish immigration to the U.S. hit a peak between 1910 and 1925, forming a strong community within the wider Scandinavian matrix of Sunset Park, near port and dock areas of Brooklyn. This ""Finntown"" grew around the 8th Avenue Alku and Alku Toinen, two co-ops built by Finnish socialists in 1916. Known as the first non-profit housing cooperatives in the U.S., these experiments inspired dozens of other (Finnish and non-Finnish) cooperative houses, restaurants, stores, and garages around Sunset Park. By the 1970s, most Sunset Park Finns had moved out to Long Island, New Jersey, and Connecticut, but a Finnish church remains in Greenwich Village, and there are scattered speakers throughout the New York area. In the early 20th century, another major community, now gone, was in Harlem, concentrated east of Lenox Avenue in the 120s.";Northern Europe;Finland, Sweden;6305020;Central Harlem;;4.080.777.745;-7.394.248.724;Small;Historical;finn1318;Uralic;fin
Sylheti;ꠍꠤꠟꠐꠤ;Among the first wave of Bengali speakers who made their way to New York—many of them ex-seamen who settled on the Lower East Side and in East Harlem, as told by Vivek Bald in Bengali Harlem—were many who also spoke Sylheti, the related language variety from Sylhet in what is now northeastern Bangladesh. A distinct Sylheti community remains in those neighborhoods today, exemplified by the East Village's Madina Masjid and the small restaurant row on East 6th Street between 1st and 2nd Avenues, which began in the 1970s. Other small Sylheti communities continue in Harlem and parts of Brooklyn, and in general Sylhetis constitute a significant portion of the sizeable Bangladeshi community in the New York metro area, with communities apparently existing in most areas with other Bengali speakers.;Southern Asia;Bangladesh, India;11800000;East Village;Lower East Side;4.072.636.833;-7.398.631.918;Small;Residential;sylh1242;Indo-European;syl
Chechen;Нохчийн;In recent years, small numbers of individuals and families from the highly multilingual Caucasus have come to New York, settling primarily in and around the post-Soviet world of Brighton Beach, though not much information is known. Besides speakers of the major national languages, there are reported to be some Lezgis (some apparently connected with the city's Azeri community), Avars, Chechens, and Ingush. At least for short periods there have also been speakers of Haput and Lak in the city. An older North Caucasian community, where Circassians are most numerous, exists in Paterson, New Jersey.;Eastern Europe;Russia;1502350;Paterson (NJ);;4.087.584.048;-7.413.939.945;Smallest;Residential;chec1245;Nakh-Daghestanian;che
Arbëresh;Arbëresh;Arriving within the large Southern Italian immigrant wave beginning in the late 19th century, Arbëresh speakers (from places such as San Cosmo Albanese, Frascineto, and Acquaformosa in Calabria and Greci in Campania) came to live within broader Italian neighborhoods, beginning in Little Italy and later in the Bronx, Staten Island, and likely elsewhere. From 1904 to 1946, the Arbëreshë priest Papas Ciro Pinnola created a parish within the Archdiocese of New York, unique in North America, dedicated to the distinctive to the (Greek-language) Byzantine Catholic rite of the Italo-Albanian Church. In recent years, the rite has been revived at Our Lady of Grace church on Staten Island.;Southern Europe;Italy;380000;Mott Haven;Belmont;4.081.497.009;-7.391.343.770;Small;Historical;arbe1236;Indo-European;aae
Sri Lankan Malay;Melayu;New York is home to the largest Sri Lankan community outside of Sri Lanka, concentrated in Staten Island's Tompkinsville neighborhood, with long-standing cultural institutions and acclaimed restaurants like Lakruwana and New Asha, as well as a community in and around Queens Village and one in New Jersey. Much of Sri Lanka's diversity is represented here, including not just the majority Sinhalese, but also Sri Lankan Tamils (who speak a distinct variety of that South Indian language), Sri Lankan Catholics (who have had Sinhalese mass at St. Adalbert's Church), and even a few Sri Lankan Malay speakers. The first groups of Sri Lankans started arriving in the United States in the 1950s, but it wasn't until the 1990s, during the Civil War that lasted until 2009, that large numbers of Sinhalese began arriving. All groups may also use a distinctive Sri Lankan English as a lingua franca.;Southern Asia;Sri Lanka;46000;Tompkinsville;;4.063.389.855;-7.408.565.592;Smallest;Residential;sril1245;Austronesian;sci
Kandhari;Kandhari;Afghan Sikhs and Hindus, having fled decades of violence in Afghanistan, today form a global diaspora. Since the 1980s, one significant node is in New York, where many initially gravitated towards Queens but a concentration today exists in and around Hicksville, home to an Afghan Sikh gurdwara and an Afghan Hindu mandir. Others across the metropolitan area, including New Jersey, and there is increasing contact with other South Asian communities. Though many are multilingual in languages including English, Hindi, Punjabi, Dari, and Pashto, the community's oral daily languages (based on city of origin in Afghanistan) are known as Kandhari, which is considered a distinct variety of Saraiki, and Kabli, which is considered a distinct variety of Hindko.;Southern Asia;Afghanistan;;Hicksville (NY);;4.076.996.803;-7.352.473.145;Small;Community;sera1259;Indo-European;skr
Pashto;پښتو;Multiple distinctive varieties of Pashto are spoken both among Afghan New Yorkers (especially in eastern Queens but also in Hicksville), many of whom came fleeing the cycles of violence in Afghanistan in the 1980s and '90s. There are also speakers of potentially different Pashto varieties among Pakistani New Yorkers living in the Pakistani area along Coney Island Avenue in Brooklyn.;Southern Asia;Pakistan, Afghanistan;38249700;Hicksville (NY);;4.075.846.330;-7.351.158.481;Small;Residential;pash1269;Indo-European;pus
Kabli;Kabli;Afghan Sikhs and Hindus, having fled decades of violence in Afghanistan, today form a global diaspora. Since the 1980s, one significant node is in New York, where many initially gravitated towards Queens but a concentration today exists in and around Hicksville, home to an Afghan Sikh gurdwara and an Afghan Hindu mandir. Others across the metropolitan area, including New Jersey, and there is increasing contact with other South Asian communities. Though many are multilingual in languages including English, Hindi, Punjabi, Dari, and Pashto, the community's oral daily languages (based on city of origin in Afghanistan) are known as Kandhari, which is considered a distinct variety of Saraiki, and Kabli, which is considered a distinct variety of Hindko.;Southern Asia;Afghanistan;;Hicksville (NY);;4.076.986.578;-7.352.165.673;Small;Community;hind1271;Indo-European;
Peruvian Quechua;Runasimi;In addition to the largest number of speakers of Ecuadorian Kichwa in different parts of the metro area, there are also smaller communities speaking other varieties of Quechua from Peru and Bolivia, with dialects not necessarily differentiated strictly by country. ELA has worked with the New York Quechua Initiative to present classes taught by Brooklyn-based Peruvian Quechua speaker Elva Ambia. Another community institution, based in Queens, is the Sisa Pakari Cultural Center, and there are speakers as well within the significant Peruvian communities of New Jersey.;South America;Peru;7735620;Park Slope;;4.066.014.113;-7.398.462.416;Smallest;Residential;quec1387;Quechuan;que
Slovak;Slovenčina;Arriving in significant numbers in the mid-19th century, Slovaks first settled in the East Village around 14th Street and 2nd Avenue, gradually moving with other Central and Eastern European groups up towards Yorkville, where Slovak-language church services are still held today at the Church of St. John Nepomucene. A host of Slovak-language newspapers and community organization, including the still-active Slovak American Cultural Center, flourished in New York, thanks in part to a new wave of Slovak refugees who came after the Second World War. New Slovak communities formed in the Williamsburg/Greenpoint area, in western Queens, and in Yonkers (where the Catholic Slovak Club is located).;Eastern Europe;Slovakia, Czech Republic;7227240;Astoria;;4.077.313.271;-7.391.610.347;Small;Residential;slov1269;Indo-European;slk
Algerian Arabic;دزيرية;The Algerian Consulate in New York estimates that 2,000-3,000 Algerians live in Queens. An Algerian-managed Italian café along Steinway, an important Astoria street for North African communities in New York, is a popular gathering spot for Algerian World Cup games. Algerians also live in southern Brooklyn, where L'Algeroise in Bath Beach is a popular pâtisserie.;Northern Africa;Algeria, Egypt;32387600;Bath Beach;Bay Ridge;4.059.894.853;-7.399.741.832;Medium;Residential;alge1239;Afro-Asiatic;arq
Kadazan Dusun;Kadazan Dusun;In 1954, Joe Munang was reported (by legendary newspaperman Meyer Berger) as being one of seven Dusuns from North Borneo living in the New York area, having come to the city after working on American ships in the Pacific during the Second World War. While he lived in Forest Hills, Joe ran a barbershop a few blocks from Columbia University, where he befriended, assisted, and taught a series of researchers before retiring to Sabah. Of the other Dusun New Yorkers at the time, Berger reported that one worked in a Brooklyn TV factory, another in a Manhattan cafeteria, three others upstate, and the last as a seaman who stayed in the city between trips.;Southeastern Asia;Malaysia;;Morningside Heights;;4.080.278.362;-7.396.423.390;Smallest;Historical;kada1292;Austronesian;dtp
Tanchangya;𑄖𑄧𑄐𑄴𑄌𑄧𑄁𑄉𑄴𑄡;The Chittagong Hill Tracts (CHT) region of Bangladesh is home to many Indigenous groups (collectively called the Jumma), speaking at least 12 languages and practicing a number of religions, including traditional animistic religion, Buddhism, Hinduism, and Christianity, as opposed to the Islam widespread in the rest of Bangladesh. While Bengali grows increasingly dominant as the national language, various factors have caused Indigenous people from the CHT to emigrate since the 1960s, including the construction of the Kaptai Dam, which destroyed the homes and farmland of tens of thousands, and an assimilationist political regime that favored Bengali culture and Islam. These refugees have consequently established communities in other areas of Bangladesh and overseas, and even as far as Jackson Heights, Queens, where the American Jumma Council unifies speakers of languages like Chak, Chakma, Marma, Tanchangya, and Tripuri. Fewer than 100 individuals may comprise the Jumma community in New York, most of whom arrived after 2010, practice Buddhism, and live in neighborhoods from Woodside to Jamaica. The council organizes frequent social and cultural events, with goals to solidify the community and ease transnational adapation for newcomers.;Southern Asia;Bangladesh;22000;Jackson Heights;;4.075.577.113;-7.389.203.393;Smallest;Residential;tang1330;Indo-European;tnv
Mazahua;Jñatjo;One speaker of Mazahua, an Indigenous language of central Mexico, is a master artisan and dancer living in Newark who reports that there are speakers scattered around the New York metropolitan area, but little other information is available.;Central America;Mexico;100000;Newark (NJ);;4.072.813.684;-7.415.512.753;Smallest;Residential;maza1293;Otomanguean;mmc
